"","id","lhs","op","rhs","user","block","group","free","ustart","exo","label","plabel","start","est","se"
"1",1,"MasteryGoals","=~","Q01",1,1,1,0,1,0,"",".p1.",1,1,0
"2",2,"MasteryGoals","=~","Q02",1,1,1,1,NA,0,"",".p2.",1.0671014146645,1.05460446586995,0.083278594422843
"3",3,"MasteryGoals","=~","Q03",1,1,1,2,NA,0,"",".p3.",0.971668121647129,1.02108937615478,0.0857525132363192
"4",4,"MasteryGoals","=~","Q04",1,1,1,3,NA,0,"",".p4.",0.637459543013002,0.650581435269599,0.0620596267285546
"5",5,"MasteryGoals","=~","Q05",1,1,1,4,NA,0,"",".p5.",0.805989870807105,0.815533915027753,0.0722014584689695
"6",6,"PerfAppGoals","=~","Q06",1,1,1,0,1,0,"",".p6.",1,1,0
"7",7,"PerfAppGoals","=~","Q07",1,1,1,5,NA,0,"",".p7.",1.05044750707046,1.01817940170752,0.0609869266726843
"8",8,"PerfAppGoals","=~","Q08",1,1,1,6,NA,0,"",".p8.",0.933518620281539,1.00330489662264,0.0579008503501296
"9",9,"PerfAppGoals","=~","Q09",1,1,1,7,NA,0,"",".p9.",1.04337780197485,1.18437755071763,0.0593995316803313
"10",10,"PerfAppGoals","=~","Q10",1,1,1,8,NA,0,"",".p10.",0.987106794086389,1.14180637779814,0.0601174303061933
"11",11,"PerfAvGoals","=~","Q11",1,1,1,0,1,0,"",".p11.",1,1,0
"12",12,"PerfAvGoals","=~","Q12",1,1,1,9,NA,0,"",".p12.",0.878459300693054,0.946243985835462,0.0666608278560915
"13",13,"PerfAvGoals","=~","Q13",1,1,1,10,NA,0,"",".p13.",1.05290837934715,1.02588490540909,0.0658081749620576
"14",14,"PerfAvGoals","=~","Q14",1,1,1,11,NA,0,"",".p14.",1.07439923651577,1.07799248223916,0.0686967352529397
"15",15,"SelfEfficacy","=~","Q15",1,1,1,0,1,0,"",".p15.",1,1,0
"16",16,"SelfEfficacy","=~","Q16",1,1,1,12,NA,0,"",".p16.",1.04605793645288,1.07047521412419,0.0847624525601275
"17",17,"SelfEfficacy","=~","Q17",1,1,1,13,NA,0,"",".p17.",0.816765673202841,1.03388905341257,0.07089500580194
"18",18,"SelfEfficacy","=~","Q18",1,1,1,14,NA,0,"",".p18.",0.715857642775462,0.951966421432395,0.0672313855937259
"19",19,"SelfEfficacy","=~","Q19",1,1,1,15,NA,0,"",".p19.",0.81157188843786,1.02481255422624,0.0722024957359413
"20",20,"Q01","~~","Q01",0,1,1,16,NA,0,"",".p20.",0.532804860448662,0.590775059584335,0.0455568724734394
"21",21,"Q02","~~","Q02",0,1,1,17,NA,0,"",".p21.",0.543512772405831,0.558915917508461,0.045169078982828
"22",22,"Q03","~~","Q03",0,1,1,18,NA,0,"",".p22.",0.604669663380138,0.714262202322945,0.0531583224843876
"23",23,"Q04","~~","Q04",0,1,1,19,NA,0,"",".p23.",0.336035538158816,0.471093119659153,0.0323542616768066
"24",24,"Q05","~~","Q05",0,1,1,20,NA,0,"",".p24.",0.441044883821619,0.566277640027608,0.0404215676122643
"25",25,"Q06","~~","Q06",0,1,1,21,NA,0,"",".p25.",0.975680156570652,0.895205972896563,0.0621818090820145
"26",26,"Q07","~~","Q07",0,1,1,22,NA,0,"",".p26.",1.01167591846217,0.928436136986949,0.0644863451720854
"27",27,"Q08","~~","Q08",0,1,1,23,NA,0,"",".p27.",0.915280070682075,0.767401564297309,0.0546094937963911
"28",28,"Q09","~~","Q09",0,1,1,24,NA,0,"",".p28.",0.969185712927991,0.456836267890577,0.0416899025637318
"29",29,"Q10","~~","Q10",0,1,1,25,NA,0,"",".p29.",0.994297561679614,0.611649243017606,0.0486129612140877
"30",30,"Q11","~~","Q11",0,1,1,26,NA,0,"",".p30.",0.872349862191074,0.737868964993611,0.0607542109854611
"31",31,"Q12","~~","Q12",0,1,1,27,NA,0,"",".p31.",1.04616511022954,1.19084407246068,0.084860870921531
"32",32,"Q13","~~","Q13",0,1,1,28,NA,0,"",".p32.",1.01757899813087,0.975536149396495,0.0749847273659595
"33",33,"Q14","~~","Q14",0,1,1,29,NA,0,"",".p33.",1.10818440699921,1.04637097417733,0.0810505711293275
"34",34,"Q15","~~","Q15",0,1,1,30,NA,0,"",".p34.",0.512515444103784,0.559552051447977,0.0403674737749342
"35",35,"Q16","~~","Q16",0,1,1,31,NA,0,"",".p35.",0.663387177961836,0.793378919677897,0.0553226892228137
"36",36,"Q17","~~","Q17",0,1,1,32,NA,0,"",".p36.",0.434990443135778,0.372423607037815,0.030177128639484
"37",37,"Q18","~~","Q18",0,1,1,33,NA,0,"",".p37.",0.398382197128365,0.37493307457416,0.0288955817383788
"38",38,"Q19","~~","Q19",0,1,1,34,NA,0,"",".p38.",0.458866763584651,0.428874166863767,0.0331669432169093
"39",39,"MasteryGoals","~~","MasteryGoals",0,1,1,35,NA,0,"",".p39.",0.05,0.474836379810094,0.0609677775286477
"40",40,"PerfAppGoals","~~","PerfAppGoals",0,1,1,36,NA,0,"",".p40.",0.05,1.05616592745787,0.110185034509085
"41",41,"PerfAvGoals","~~","PerfAvGoals",0,1,1,37,NA,0,"",".p41.",0.05,1.00682364758525,0.10501000318683
"42",42,"SelfEfficacy","~~","SelfEfficacy",0,1,1,38,NA,0,"",".p42.",0.05,0.465473456874141,0.0567655665647697
"43",43,"MasteryGoals","~~","PerfAppGoals",0,1,1,39,NA,0,"",".p43.",0,0.0705303325046962,0.0371058226929563
"44",44,"MasteryGoals","~~","PerfAvGoals",0,1,1,40,NA,0,"",".p44.",0,0.0690125801264777,0.038125823532955
"45",45,"MasteryGoals","~~","SelfEfficacy",0,1,1,41,NA,0,"",".p45.",0,0.3092300028433,0.0359029917651606
"46",46,"PerfAppGoals","~~","PerfAvGoals",0,1,1,42,NA,0,"",".p46.",0,0.796371611652888,0.0755559440818442
"47",47,"PerfAppGoals","~~","SelfEfficacy",0,1,1,43,NA,0,"",".p47.",0,0.0652382246814123,0.035316238548943
"48",48,"PerfAvGoals","~~","SelfEfficacy",0,1,1,44,NA,0,"",".p48.",0,0.0773166325038877,0.0364353289109952
